id,band,title,year,albumID,rand()
98,148,Mayhemic Dominions,2016,66757,94631
99,150,Chronicles of the Doomed Worlds _ Part I: Enlightenment from Beyond,2015,66758,94630
100,154,...Smouldering,2013,66759,94629
101,156,Into the Abyss,2015,66760,94628
102,162,Acefalia,2009,66761,94627
103,162,Estupro da Essência Humana,2014,66762,94626
104,169,My Hope Is in You,1999,66763,94625
105,169,Schwarzwald,2002,66764,94624
106,179,Radioactive Grind,1992,66765,94623
107,180,Engraved in Black,1993,66766,94622
108,180,Sentenced,1995,66767,94621
109,181,Stench of Centuries,2004,66768,94620
110,181,Maat,2006,66769,94619
111,184,Melquisedec,2010,66770,94618
112,184,Essence of Impurity,2014,66771,94617
113,190,Scorn Aesthetics,2012,66772,94616
114,193,Destroyer Characters,2013,66773,94615
115,195,Recipe for the Sick,2008,66774,94614
116,196,Stench of Decay,2014,66775,94613
117,198,Living Through Blood,2001,66776,94612
118,202,Psychostasia,1996,66777,94611
119,202,Pure Blood Doom,1999,66778,94610
120,202,Terror of Thousand Faces,2005,66779,94609
121,205,Lamb of Disease,2005,66780,94608
122,206,Bleeding the False,2005,66781,94607
123,206,Rise to Dominate,2007,66782,94606
124,206,Path of Fire,2010,66783,94605
125,206,Aeons Black,2012,66784,94604
126,208,The Hour of Desolation,2008,66785,94603
127,208,The Parasite,2013,66786,94602
128,211,_езжал_н____,2012,66787,94601
129,211,_икл__енн_ недом_нан_ного ма_е__ал_,2016,66788,94600
130,212,From Blackest Darkness,1995,66789,94599
131,213,Semper Tyranis,2005,66790,94598
132,213,Psychotic,2006,66791,94597
133,213,One Kill Slaughterhouse,2014,66792,94596
134,216,Aeon of Nox (From Darkness Comes Liberation),2009,66793,94595
135,217,New Hope Is Dead,2005,66794,94594
136,222,Dawn of Enthrallment,2014,66795,94593
137,222,Tomb of Kings,2016,66796,94592
138,225,Surreality,1992,66797,94591
139,228,Jugando a ser Dios,2016,66798,94590
140,230,World in Flames,2010,66799,94589
141,231,War| Hate| Blasphemy,2005,66800,94588
142,231,Follow the Way of Hate,2008,66801,94587
143,231,Machinery of Hatred,2011,66802,94586
144,231,Death Metal Artillery,2014,66803,94585
145,231,For the Forgotten,2016,66804,94584
146,234,AOR,2001,66805,94583
147,240,Live Eternally,2008,66806,94582
148,240,Crisis,2010,66807,94581
149,240,Death Follows Me,2013,66808,94580
150,245,Morbid Embracement,2012,66809,94579
151,246,Violence Procreation,2008,66810,94578
152,253,Introspective,1999,66811,94577
153,254,Ashes to Ashes| Dust to Dust,1999,66812,94576
154,254,Call the Rain,2003,66813,94575
155,254,My Turn to Die,2004,66814,94574
156,255,Look into the Silence,1996,66815,94573
157,256,March of the Divine,2015,66816,94572
158,257,The Sun of the Cursed,1997,66817,94571
159,257,Nihilist Passion,1999,66818,94570
160,257,A Tomb for the Haunted,2012,66819,94569
161,258,Demonstration of Evisceration,2014,66820,94568
162,259,Sick,2005,66821,94567
163,259,The Fire Inside,2008,66822,94566
164,263,Extremophilia,2015,66823,94565
165,265,Delusions,1994,66824,94564
166,273,Searching the Myths of the Past,1997,66825,94563
167,275,Ajatus,2014,66826,94562
168,275,Blood 666,2016,66827,94561
169,276,Akagrish,2013,66828,94560
170,278,Cegado,2007,66829,94559
171,278,Mirando al cielo,2015,66830,94558
172,283,Shrouds of the Final Nothing,2007,66831,94557
173,284,Alabaster Morgue,2008,66832,94556
174,285,Monument of Destruction,2003,66833,94555
175,289,Green Valley,2003,66834,94554
176,289,Era,2011,66835,94553
177,292,Grande Trono Branco,2005,66836,94552
178,295,Desecrated,2013,66837,94551
179,296,Until Someone Gets Hurt,2002,66838,94550
180,298,Light & shades,2003,66839,94549
181,299,The Inferno,2007,66840,94548
182,305,The Beginning of Damnation,2011,66841,94547
183,306,Juzgados,2014,66842,94546
184,307,Courage to Humility,2008,66843,94545
185,309,Youth Against Christ,1994,66844,94544
186,309,Ego Art,1996,66845,94543
187,309,Provoke,1998,66846,94542
188,309,In the Name of the Father,1999,66847,94541
189,309,Red Harvest,2001,66848,94540
190,311,Vilified,2009,66849,94539
191,312,A Bloodfeast for the Dead,2007,66850,94538
192,313,The Ritual Has Begun,2011,66851,94537
193,316,Paramnesia,2013,66852,94536
194,317,Hymns to the Dead,2011,66853,94535
195,319,All for Satan,2008,66854,94534
196,321,Altered Dead,2016,66855,94533
197,322,Eye-conic,2014,66856,94532
198,329,The Splinters,2004,66857,94531
199,329,Pornomechanoid,2006,66858,94530
200,329,Silicone Magic,2010,66859,94529
201,330,Those Who Have Lost the Right to Exist,1993,66860,94528
202,332,Balkanization,2011,66861,94527
203,342,The End of Humanity,2015,66862,94526
204,343,Negative World,2007,66863,94525
205,345,Liar in Wait,2012,66864,94524
206,346,Ecclesiastical Damnation,2016,66865,94523
207,347,Among Gods,2012,66866,94522
208,347,Monument,2014,66867,94521
209,347,Ghost Empire,2016,66868,94520
210,349,Invidia,1998,66869,94519
211,351,Invisible Fire,2015,66870,94518
212,354,Crimson Highway,2015,66871,94517
213,361,Ode to Gore,2015,66872,94516
214,362,Dear Perfect Hysteria,2007,66873,94515
215,365,In Prayer to Lamashtu,2016,66874,94514
216,366,123 FistFuck,2012,66875,94513
217,367,Stench like Six Demons,2003,66876,94512
218,367,Red Revolution,2004,66877,94511
219,375,Godmachine,1998,66878,94510
220,375,Moribund,2000,66879,94509
221,375,Dying,2004,66880,94508
222,381,Substratum,2011,66881,94507
223,382,Legion Anti-Christ,2001,66882,94506
224,382,Kill the Forgiveness,2002,66883,94505
225,382,Return to Hell,2007,66884,94504
226,384,Ancestor,2001,66885,94503
227,386,Asifonías para cerdos,2011,66886,94502
228,388,Demoniac Holocaust,2002,66887,94501
229,388,Huge Blackness,2005,66888,94500
230,389,The Grim Awakening,2011,66889,94499
231,389,Echoes and Cinder,2014,66890,94498
232,394,Night Eternal,2003,66891,94497
233,394,Hate Is the Law,2007,66892,94496
234,394,Death Fucking Metal,2008,66893,94495
235,408,Guillain Barre,1996,66894,94494
236,409,Odiumspace,2003,66895,94493
237,414,Soulless Endeavors of the Hopeless,2015,66896,94492
238,417,Forgotten World,2007,66897,94491
239,418,The Proclamation,2016,66898,94490
240,421,Camins sense destí,2014,66899,94489
241,426,Everlasting,2005,66900,94488
242,426,More than Just Flesh and Blood,2011,66901,94487
243,432,Deathwish,2012,66902,94486
244,437,Chaos| Blood| Death| Murder... Hatred,2004,66903,94485
245,444,Disforic Agony,1997,66904,94484
246,447,...and the Vomiting Continues...,2002,66905,94483
247,449,Am Anfang war das Ende,1998,66906,94482
248,451,Infinite Mutable Fundamental Form,2004,66907,94481
249,452,Digging Past Sounds,2012,66908,94480
250,453,Intense Perversion,2010,66909,94479
251,457,30550,2007,66910,94478
252,457,Traitors,2009,66911,94477
253,461,Phosphorus,2014,66912,94476
254,462,Evidence of Human Misery,2006,66913,94475
255,466,At the Fields of Slaughter,2012,66914,94474
256,469,Anticipation,2003,66915,94473
257,469,Falling,2006,66916,94472
258,473,No Hope| No Future... Just W.A.R.!,2005,66917,94471
259,476,Senseless,2013,66918,94470
260,477,Creando el dolor,1996,66919,94469
261,477,En el umbral del caos,1998,66920,94468
262,477,Todos morirán hoy,2004,66921,94467
263,477,Bestiario,2008,66922,94466
264,479,Blinded by the Light,2013,66923,94465
265,480,Engendro,2003,66924,94464
266,481,Pure,1998,66925,94463
267,481,Evangelivm Nekromantia,2012,66926,94462
268,481,Rites ov Perversion,2014,66927,94461
269,485,To Whom It May Concern,2005,66928,94460
270,485,Angstnation,2011,66929,94459
271,486,Attic of Disembowelment,2008,66930,94458
272,486,Loathe Exert Interplay,2008,66931,94457
273,494,Within Darkness,2016,66932,94456
274,495,Earth Entangled,2014,66933,94455
275,496,Off the Beaten Path,2001,66934,94454
276,496,Tainted Purity,2005,66935,94453
277,496,Tempest of Eternity,2009,66936,94452
278,496,The Great Ruiner,2015,66937,94451
279,498,Opening the Silos,2011,66938,94450
280,499,American Scumbags,2006,66939,94449
281,502,Ilusiones morbosas,2009,66940,94448
282,506,Doomsday Device,2006,66941,94447
283,506,Leave None Living,2008,66942,94446
284,510,Ritual Entombment,2014,66943,94445
285,514,Conquerors Beyond the Stars,2015,66944,94444
286,515,Gateway to the Underworld,1993,66945,94443
287,515,Down in the Valley,1996,66946,94442
288,515,Heliopolis,1998,66947,94441
289,515,I Am Your Blindness,2005,66948,94440
290,516,Into the Chaos,2015,66949,94439
291,518,Infection,1996,66950,94438
292,518,Life| Thoughts & Destiny,2000,66951,94437
293,519,Tears of the Unborn,1995,66952,94436
294,519,Monarchy of Damned,1999,66953,94435
295,521,Aposento,2014,66954,94434
296,526,Dernières louanges,2002,66955,94433
297,533,Diseased and Burned to Rest,2009,66956,94432
298,537,Blood Eagle,2016,66957,94431
299,537,Divergent Reflections,2016,66958,94430
300,537,Shoreside Shambler,2016,66959,94429
301,537,Winter's Frosts,2016,66960,94428
302,537,Acts to Continue in Breathless Sleep,2016,66961,94427
303,537,Human Consciousness Experiment,2016,66962,94426
304,537,Permeation Formation,2016,66963,94425
305,538,Severe Life Reality,2004,66964,94424
306,538,Hate and Pain,2009,66965,94423
307,539,Compelled to Distort,2007,66966,94422
308,540,Kaal Bhairav,2008,66967,94421
309,542,Chronicles of a Dead Man,2012,66968,94420
310,547,In Limine Mortis,2004,66969,94419
311,548,Cascade,1997,66970,94418
312,550,What If You Die Tomorrow...,2007,66971,94417
313,557,Archimime,2016,66972,94416
314,558,Democracy : Consent to Domination,2006,66973,94415
315,558,Acts of God: 4000 Years of Phallusy,2009,66974,94414
316,559,Brutal Assertion of Authority,2010,66975,94413
317,565,Arhont,2008,66976,94412
318,566,Decade of Necrosodomy,2014,66977,94411
319,573,Absolute,1999,66978,94410
320,573,Believe in Myself,2004,66979,94409
321,574,Noreturn Sickness,2008,66980,94408
322,578,Rebellion My Religion,2014,66981,94407
323,579,Invisible Circle,1993,66982,94406
324,579,Death Then Nothing,2009,66983,94405
325,579,Thanatology,2013,66984,94404
326,583,Immortal Identity,2010,66985,94403
327,587,Flashback,2001,66986,94402
328,588,System Phoeto,2005,66987,94401
329,592,Impulse to Mutilation,2015,66988,94400
330,605,Kaybolmu_ Masumiyet,1995,66989,94399
331,608,Uncured Sickness,1994,66990,94398
332,608,Storm of Dilemmas,2001,66991,94397
333,609,The Offering,2009,66992,94396
334,609,Create/Conquer/Destroy,2011,66993,94395
335,613,Ascension,2003,66994,94394
336,614,Don't Stop When You Walk Through the Hell,2016,66995,94393
337,616,To a Golden Age,1996,66996,94392
338,617,Abandon All Light,2015,66997,94391
339,617,Children of the Chainsaw,2016,66998,94390
340,619,Ashen Earth,2013,66999,94389
341,620,Somewhere Behind the Nervecell,2008,67000,94388
342,620,Sunshine Above the Grave,2012,67001,94387
343,623,At the Dawn of Your Deterioration,2005,67002,94386
344,623,Legacy of Hatred,2007,67003,94385
345,625,Armageddon,1997,67004,94384
346,632,Inferno,1997,67005,94383
347,643,Trapped Between Two Worlds,1997,67006,94382
348,649,Saint Death,2010,67007,94381
349,651,War| Death| Destruction and Chocolate,2009,67008,94380
350,652,Bullen les calderes,2012,67009,94379
351,652,Territori hostil,2014,67010,94378
352,653,Falling Down,2009,67011,94377
353,658,Bound to Carrion,1998,67012,94376
354,669,Abomination,2011,67013,94375
355,671,Ballistically Reconfigured,2004,67014,94374
356,672,At the Grave,2014,67015,94373
357,673,From Sorrow to Hope,2013,67016,94372
358,675,Existence Indifferent,2005,67017,94371
359,676,Light of Repentance,2015,67018,94370
360,676,Superstitions,2016,67019,94369
361,678,Revelations of the Ethereal,2012,67020,94368
362,680,Calignious,2014,67021,94367
363,681,Ataxia.F,2008,67022,94366
364,681,20.16,2016,67023,94365
365,682,Horns of Evil,2014,67024,94364
366,684,Alpha Theistic,2012,67025,94363
367,690,Capital Punishment,2014,67026,94362
368,690,Vicious Circle,2015,67027,94361
369,696,Sights of Suffering,2014,67028,94360
370,697,Atomic Death Metal,2012,67029,94359
371,697,Iron Flesh,2015,67030,94358
372,701,Encased,2012,67031,94357
373,701,Trail of Entrails,2016,67032,94356
374,704,In Obscuritas,2015,67033,94355
375,710,Der Tag des dümmsten Gesichts,2004,67034,94354
376,711,Om Ah Hum Vajra Guru Padma Siddhi Hum,2016,67035,94353
377,719,Crackdown,2010,67036,94352
378,720,The Source of Dominion,1991,67037,94351
379,727,Severed Survival,1989,67038,94350
380,727,Mental Funeral,1991,67039,94349
381,727,Acts of the Unspeakable,1992,67040,94348
382,727,Shitfun,1995,67041,94347
383,727,Macabre Eternal,2011,67042,94346
384,727,The Headless Ritual,2013,67043,94345
385,727,Tourniquets| Hacksaws and Graves,2014,67044,94344
386,728,Orgy with the Dead,2002,67045,94343
387,728,Tormentorium,2003,67046,94342
388,728,Graveyard Creatures,2005,67047,94341
389,730,Autumn Nostrum,1996,67048,94340
390,739,Eminence in Putrescence,1996,67049,94339
391,739,Stabwound Orgasm,1999,67050,94338
392,739,Yearning for the Grotesque,2003,67051,94337
393,739,Gorespattered Suicide,2005,67052,94336
394,739,Nullo (The Pleasure of Self-Mutilation),2009,67053,94335
395,739,Ritual Zombi,2013,67054,94334
396,740,Dimensions of Darkness,1996,67055,94333
397,740,Indoctrination into the Cult of Death,2003,67056,94332
398,743,Dead Inside,2009,67057,94331
399,743,After Execution,2012,67058,94330
400,748,A Wretched Disgust,2012,67059,94329
401,751,Pure Slaughter,2005,67060,94328
402,751,Marching Towards Destruction,2009,67061,94327
403,752,Leper Viper,2004,67062,94326
404,752,War Anthems,2007,67063,94325
405,758,Forced to Devour,2012,67064,94324
406,759,The Act of Eye,2016,67065,94323
407,760,Die with Us,2011,67066,94322
408,760,Bringer of Terror,2015,67067,94321
409,762,There Shall Be No Answer,1995,67068,94320
410,763,Primordial,2008,67069,94319
411,764,Confinement,2014,67070,94318
412,766,The Inner Death,2005,67071,94317
413,769,The Binary Choice,2004,67072,94316
414,770,Lure of the Occult,2012,67073,94315
415,774,Ash to Ash,2007,67074,94314
416,780,Deliver Me unto Pain,1993,67075,94313
417,781,Minotaur,2011,67076,94312
418,782,Inheritors of the Dead,1991,67077,94311
419,782,The Dead Shall Inherit,1992,67078,94310
420,788,La obscuridad prevalece,2013,67079,94309
421,788,De la obscuridad a la muerte,2015,67080,94308
422,789,Southern Pandemonic Invocations,2015,67081,94307
423,790,Burning Rituals,2012,67082,94306
424,794,Forced Out Fetus,2015,67083,94305
425,795,Be Addicted to Suffering Pain,2002,67084,94304
426,795,Pandemic,2008,67085,94303
427,798,Aftermath,2010,67086,94302
428,801,What Lies Beyond,2015,67087,94301
429,802,Under the Hammer of Destruction,2010,67088,94300
430,802,Ghouls of the Endless Night,2011,67089,94299
431,803,Betraying Us All,2013,67090,94298
432,803,Devils Mask,2014,67091,94297
433,805,Made in Germany,2005,67092,94296
434,809,Kill Now| Question Later,2008,67093,94295
435,809,Disfigured Dementia,2010,67094,94294
436,810,Winter Campaign,2005,67095,94293
437,810,Welcome to the Warzone,2008,67096,94292
438,810,Only the Dead Have Seen the End of War,2014,67097,94291
439,813,Victims,2008,67098,94290
440,813,Global Attack,2011,67099,94289
441,814,Total Dysfunctional Collapse,1995,67100,94288
442,814,Garden Variety Manic Depressant,1997,67101,94287
443,822,A Rude Awakening,2015,67102,94286
444,823,The Sun Shines Black,2003,67103,94285
445,823,Essence of Distress,2006,67104,94284
446,826,Kegztaump,2010,67105,94283
447,826,Alcoholics Unanimous,2011,67106,94282
448,826,Intravenous Intoxication,2013,67107,94281
449,828,Flames of Wrath,2003,67108,94280
450,831,The Awakening of Madness,2012,67109,94279
451,837,Out of Sight,2008,67110,94278
452,840,Diabology,2009,67111,94277
453,844,Visiones nocturnas,2004,67112,94276
454,851,Once More,2012,67113,94275
455,852,Desecration,2008,67114,94274
456,852,Reborn into Carnage,2010,67115,94273
457,853,Obelisk,2011,67116,94272
458,855,Subconscious Terror,1990,67117,94271
459,855,The Grand Leveller,1991,67118,94270
460,855,Transcend the Rubicon,1993,67119,94269
461,855,The Dreams You Dread,1995,67120,94268
462,855,Grind Bastard,1998,67121,94267
463,855,Organised Chaos,2001,67122,94266
464,855,Killing Music,2008,67123,94265
465,862,Ingenious Encounter,2014,67124,94264
466,866,Symphony of the Suffering,2006,67125,94263
467,870,Perception Kills,2011,67126,94262
468,871,Schlachthof,2003,67127,94261
469,872,AkelDama,1998,67128,94260
470,872,Besieged,2004,67129,94259
471,875,Together We'll Destroy the World,1994,67130,94258
472,875,Bellum Contra Omnes,1996,67131,94257
473,875,The Second Coming,2004,67132,94256
474,875,Stop the Christianity!,2005,67133,94255
475,875,...ad Leones,2016,67134,94254
476,883,Sadistic Soul,2014,67135,94253
477,884,Lethal Venom,2005,67136,94252
478,884,Inferno Invert,2007,67137,94251
479,886,Infinite Circles,2016,67138,94250
480,887,In the Conspiracy,2003,67139,94249
481,889,Fatal Power of Death,2013,67140,94248
482,895,The Sleeper Awakens,2010,67141,94247
483,897,From Hell,2008,67142,94246
484,902,Naked Power,2014,67143,94245
485,905,Mind Scars,2015,67144,94244
486,906,Hallucinating in Resurrecture,2012,67145,94243
487,909,Horror Grind,2010,67146,94242
488,909,Miskatonic Massacre,2011,67147,94241
489,910,Osario terror,2010,67148,94240
490,911,Un-Album: Eternal Torments,2012,67149,94239
491,911,Un-Album: HellGate,2012,67150,94238
492,912,Oneeleven,2008,67151,94237
493,912,Clean the Ulcer,2011,67152,94236
494,913,Pains,1997,67153,94235
495,914,Silence Is Complete,2010,67154,94234
496,915,Human Obelisk,2012,67155,94233
497,916,In Tolerable Cruelty,2004,67156,94232
498,920,Disorder,2014,67157,94231
499,923,Synthetic Deity,2000,67158,94230
500,930,Everything Black Everything Dead,2014,67159,94229
501,931,It's Going Deeper,2012,67160,94228
502,931,Divine Touch,2016,67161,94227
503,939,The Forbidden Gates Beyond,2010,67162,94226
504,939,Into the Darkness Into the Void,2012,67163,94225
505,940,Super Nova,2010,67164,94224
506,943,Darkness Fills the Earth,2012,67165,94223
507,943,Rise of the Witch Queen,2016,67166,94222
508,944,The Human Condition,2011,67167,94221
509,949,The Rotten Ways of Human Misery,1992,67168,94220
510,952,Abominable cristianismo,1997,67169,94219
511,952,Pontificado e imperio,1999,67170,94218
512,952,El índice de los libros prohibidos,2006,67171,94217
513,958,Rest in Peace,1991,67172,94216
514,960,Infernal Warriors of Death,2011,67173,94215
515,963,Odd,2009,67174,94214
516,963,Collapse,2011,67175,94213
517,965,Glorified,2005,67176,94212
518,967,Tribulaciones,1993,67177,94211
519,967,En tu interior,1997,67178,94210
520,967,Por los siglos de los siglos,2001,67179,94209
521,971,Night Work,2013,67180,94208
522,979,Dismorphomania,1998,67181,94207
523,980,Ways to End,2006,67182,94206
524,980,Deviance,2014,67183,94205
525,981,Dawn of Oblivion,2000,67184,94204
526,988,Rehearsal,2004,67185,94203
527,992,Between Roots and Darkness,2016,67186,94202
528,996,Massacre the Holy,1994,67187,94201
529,999,Remnants,2010,67188,94200
530,1003,Perish,2015,67189,94199
531,1007,Heimwehr Schlesien,2008,67190,94198
532,1007,Ritter der schwarzen Sonne,2010,67191,94197
533,1007,Menschen inmitten von Ruinen,2012,67192,94196
534,1008,At the Height of the Storm,2012,67193,94195
535,1008,Godless Sandborn,2016,67194,94194
536,1011,Machine Made Flesh,2010,67195,94193
537,1012,Cutting the Director,2010,67196,94192
538,1013,Disfigured Vision,2012,67197,94191
539,1014,Unholy Forces of Death,2004,67198,94190
540,1015,Starspawn,2016,67199,94189
541,1020,Blood Mortized,2009,67200,94188
542,1020,The Key to a Black Heart,2012,67201,94187
543,1020,The Demon| the Angel| the Disease,2013,67202,94186
544,1023,Death Surrounds,2004,67203,94185
545,1023,Raped and Consumed,2010,67204,94184
546,1024,...a Dream to Remember,1997,67205,94183
547,1024,As the Rain Gently Falls (Anthology II),2002,67206,94182
548,1024,Breeding Chaos,2003,67207,94181
549,1026,Caustic Deathpath to Hell,2012,67208,94180
550,1027,The Shadow Before,2010,67209,94179
551,1028,Lethal Message,2004,67210,94178
552,1028,Smelteries of Damnation,2005,67211,94177
553,1029,Monument of Death,2001,67212,94176
554,1029,Affiliated with the Suffering,2003,67213,94175
555,1029,Altered Genesis,2005,67214,94174
556,1029,Come Death,2007,67215,94173
557,1029,Souls of Damnation,2009,67216,94172
558,1029,Brutalitarian Regime,2011,67217,94171
559,1029,Blood Red Throne,2013,67218,94170
560,1029,Union of Flesh and Machine,2016,67219,94169
561,1030,At the Mountains of Madness,1997,67220,94168
562,1030,Black Grimoire,2005,67221,94167
563,1031,Born from Hell,2013,67222,94166
564,1037,War for Blood,2013,67223,94165
565,1038,Resurrection Through Carnage,2002,67224,94164
566,1038,Nightmares Made Flesh,2004,67225,94163
567,1038,The Fathomless Mastery,2008,67226,94162
568,1038,Grand Morbid Funeral,2014,67227,94161
569,1042,Under the Evil Command,2011,67228,94160
570,1042,Dead Blood Madness,2014,67229,94159
571,1043,Bloodgasm,2003,67230,94158
572,1044,Bloodgeon,2016,67231,94157
573,1047,Nekrologikum Evangelikum Pt. I: Zombie Reign 2666 A.D.,2010,67232,94156
574,1047,Nekrologikum Evangelikum Pt.II: Furnace World,2011,67233,94155
575,1048,Infierno frío,2003,67234,94154
576,1051,The Vault,2011,67235,94153
577,1058,Meng-Amok,2012,67236,94152
578,1061,Bloodshed,2000,67237,94151
579,1061,Rising,2016,67238,94150
580,1065,The Hunger and the Agony,2014,67239,94149
581,1070,Tales from the Dissecting Table,2009,67240,94148
582,1070,Of Masters and Slaves,2012,67241,94147
583,1073,Not Dead... but Alive,1995,67242,94146
584,1074,Frost Image,1993,67243,94145
585,1075,Revenge Is Best Served with Blood,2007,67244,94144
586,1080,Dead and Hateful,2006,67245,94143
587,1080,Mind Reflection,2010,67246,94142
588,1084,In Death We Rot,2015,67247,94141
589,1086,Cross of Gold,1995,67248,94140
590,1091,Just Let Me Rot,2014,67249,94139
591,1092,World Without End,2014,67250,94138
592,1093,The Hate Effect,2011,67251,94137
593,1095,Ritual of Blood,2015,67252,94136
594,1097,Abstinence Syndrome,2014,67253,94135
595,1099,Still Alive,2005,67254,94134
596,1099,Leader,2013,67255,94133
597,1101,Hammertime!,2011,67256,94132
598,1102,Blood and Honor,2013,67257,94131
599,1106,Fall into the Apocalypse,2009,67258,94130
600,1106,News from the Morgue,2013,67259,94129
601,1117,Infinite Deprivation,2013,67260,94128
602,1118,Cabin of Horrors,2016,67261,94127
603,1120,Hate Crimes,1995,67262,94126
604,1121,Blunt Force Trauma,2004,67263,94125
605,1121,Decrepit Within,2007,67264,94124
606,1121,Human Ferox,2016,67265,94123
607,1123,Futile Creation,2014,67266,94122
608,1125,Curriculum Mortae,2008,67267,94121
609,1125,Disobedience,2013,67268,94120
610,1128,Malevolence,2012,67269,94119
611,1128,The Coming Scourge,2013,67270,94118
612,1128,Battle Breed,2015,67271,94117
613,1131,Taphonomy,2014,67272,94116
614,1132,Mental Sickness,2011,67273,94115
615,1134,In Battle There Is No Law!,1988,67274,94114
616,1134,Realm of Chaos: Slaves to Darkness,1989,67275,94113
617,1134,War Master,1991,67276,94112
618,1134,The IVth Crusade,1992,67277,94111
619,1134,...for Victory,1994,67278,94110
620,1134,Mercenary,1998,67279,94109
621,1134,Honour - Valour - Pride,2001,67280,94108
622,1134,Those Once Loyal,2005,67281,94107
623,1136,Truth to Reality,2003,67282,94106
624,1136,Killing Spree,2006,67283,94105
625,1137,Feast of Flesh,2009,67284,94104
